Name,Img Src
Avocado,avocado.png
Bagel,bagel.png
Banana,banana.png
Candy,candy.png
Cake,cake.png
Cheese,cheese.png
Cherries,cherry.png
Chips,chips.png
Chocolate,chocolate.png
Coffee,coffee.png
Ice Cream Cone,cone.png
Cookie,cookie.png
Croissant,croissant.png
Cupcake,cupcake.png
Donut,donut.png
Hotdog,hotdog.png
Grape Jelly,jelly.png
Orange Juice,juice.png
Lolipop,lolipop.png
Oatmeal,oatmeal.png
Peanut Butter,peanut.png
Pineapple,pineapple.png
Pizza,pizza.png
Popsicle,popsicle.png
Pretzel,pretzel.png
Ice Cream Sandwich,sandwich.png
Sushi,sushi.png
Waffle,waffle.png
Watermelon,watermelon.png
Yogurt,yogurt.png
